Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Leudelange;29;5 411 €;4133 € - 6586 €;0;*;*
Lintgen;20;4 532 €;2833 € - 5742 €;20;4 948 €;4027 € - 5705 €
Lorentzweiler;15;4 898 €;3716 € - 6154 €;14;5 567 €;4009 € - 6963 €
Luxembourg-Ville;479;6 001 €;4111 € - 8074 €;469;6 834 €;5507 € - 8575 €
Mamer;33;4 785 €;2907 € - 6103 €;83;6 002 €;4965 € - 6767 €
Manternach;0;*;*;2;*;*
Mersch;52;4 154 €;2591 € - 5357 €;28;5 240 €;3403 € - 5981 €
Mertert;26;4 025 €;2462 € - 5497 €;1;*;*
Mertzig;6;*;*;14;5 641 €;5271 € - 6313 €
Mompach;0;*;*;0;*;*
Mondercange;37;4 053 €;3276 € - 5065 €;6;*;*
Mondorf-les-Bains;43;4 606 €;3826 € - 5744 €;56;5 450 €;4858 € - 6137 €
Niederanven;5;*;*;1;*;*
Nommern;3;*;*;0;*;*
Parc Hosingen;10;3 356 €;2883 € - 3890 €;4;*;*
Petange;116;3 801 €;2446 € - 5014 €;81;4 295 €;3339 € - 5294 €
Preizerdaul;5;*;*;3;*;*
Putscheid;0;*;*;0;*;*
Rambrouch;2;*;*;1;*;*
Reckange-sur-Mess;10;4 448 €;3978 € - 5086 €;0;*;*
Redange;13;3 494 €;2096 € - 4239 €;2;*;*
Reisdorf;1;*;*;0;*;*
Remich;31;4 109 €;2446 € - 5531 €;2;*;*
Roeser;51;4 794 €;3902 € - 5579 €;10;5 472 €;5102 € - 5892 €
Rosport;6;*;*;0;*;*
Rumelange;27;3 763 €;2668 € - 4574 €;12;4 496 €;3797 € - 6230 €
Saeul;6;*;*;0;*;*
Sandweiler;11;5 122 €;4286 € - 5985 €;0;*;*
Sanem;97;3 816 €;2763 € - 4871 €;69;4 810 €;4095 € - 6369 €
Schengen;18;3 948 €;2648 € - 5277 €;0;*;*
Schieren;6;*;*;0;*;*
Schifflange;56;3 908 €;1999 € - 5162 €;177;4 872 €;4179 € - 5792 €
Schuttrange;15;4 507 €;3210 € - 6535 €;3;*;*
Septfontaines;0;*;*;0;*;*
Stadtbredimus;8;*;*;0;*;*
Steinfort;15;4 088 €;3158 € - 5765 €;4;*;*
Steinsel;19;4 834 €;2453 € - 6744 €;8;*;*
Strassen;57;5 633 €;3606 € - 7228 €;55;7 198 €;5902 € - 8854 €
Tandel;5;*;*;1;*;*
Troisvierges;8;*;*;6;*;*
Tuntange;2;*;*;15;4 485 €;3366 € - 5057 €
Useldange;4;*;*;0;*;*
Vallée de l'Ernz;10;3 894 €;3550 € - 4711 €;1;*;*
Vianden;8;*;*;1;*;*
Vichten;4;*;*;0;*;*
Wahl;0;*;*;0;*;*
Waldbillig;1;*;*;0;*;*
Waldbredimus;2;*;*;0;*;*
Walferdange;47;4 980 €;3671 € - 6521 €;15;6 329 €;5838 € - 6716 €
Weiler-la-Tour;11;4 705 €;3969 € - 5333 €;0;*;*
Weiswampach;5;*;*;5;*;*
Wiltz;19;2 892 €;1852 € - 3734 €;11;3 994 €;3851 € - 4208 €
Wincrange;3;*;*;1;*;*
Winseler;6;*;*;8;*;*
Wormeldange;8;*;*;4;*;*
